Date,VOO,SPY
2/6/2017,210.199997,228.929993
2/7/2017,210.25,228.940002
2/8/2017,210.520004,229.240005
2/9/2017,211.720001,230.600006
2/10/2017,212.570007,231.509995
2/13/2017,213.699997,232.770004
2/14/2017,214.589996,233.699997
2/15/2017,215.679993,234.919998
2/16/2017,215.509995,234.720001
2/17/2017,215.839996,235.089996
2/21/2017,217.110001,236.490005
2/22/2017,217.009995,236.279999
2/23/2017,217.130005,236.440002
2/24/2017,217.389999,236.740005
2/27/2017,217.710007,237.110001
2/28/2017,217.070007,236.470001
3/1/2017,220.149994,239.779999
3/2/2017,218.860001,238.270004
3/3/2017,218.979996,238.419998
3/6/2017,218.300003,237.710007
3/7/2017,217.639999,237
3/8/2017,217.179993,236.559998
3/9/2017,217.410004,236.860001
3/10/2017,218.169998,237.690002
3/13/2017,218.300003,237.809998
3/14/2017,217.559998,236.899994
3/15/2017,219.369995,238.949997
3/16/2017,219,238.479996
3/17/2017,218.559998,237.029999
3/20/2017,218.369995,236.770004
3/21/2017,215.580002,233.729996
3/22/2017,215.020004,234.279999
3/23/2017,214.800003,234.029999
3/24/2017,214.729996,233.860001
3/27/2017,214.380005,233.619995
3/28/2017,215.970001,235.320007
3/29/2017,216.289993,235.539993
3/30/2017,216.869995,236.289993
3/31/2017,216.350006,235.740005
4/3/2017,216.080002,235.330002
4/4/2017,216.199997,235.479996
4/5/2017,215.539993,234.779999
4/6/2017,216.100006,235.440002
4/7/2017,215.910004,235.199997
4/10/2017,216.059998,235.339996
4/11/2017,215.789993,235.059998
4/12/2017,214.899994,234.029999
4/13/2017,213.470001,232.509995
4/17/2017,215.339996,234.570007
4/18/2017,214.75,233.869995
4/19/2017,214.279999,233.440002
4/20/2017,216.029999,235.339996
4/21/2017,215.399994,234.589996
4/24/2017,217.699997,237.169998
4/25/2017,219.009995,238.550003
4/26/2017,218.850006,238.399994
4/27/2017,219.020004,238.600006
4/28/2017,218.600006,238.080002
5/1/2017,219.130005,238.679993
5/2/2017,219.199997,238.770004
5/3/2017,218.979996,238.479996
5/4/2017,219.179993,238.759995
5/5/2017,220.059998,239.699997
5/8/2017,220.070007,239.660004
5/9/2017,219.789993,239.440002
5/10/2017,220.199997,239.869995
5/11/2017,219.75,239.380005
5/12/2017,219.410004,238.979996
5/15/2017,220.520004,240.300003
5/16/2017,220.479996,240.080002
5/17/2017,216.570007,235.820007
5/18/2017,217.360001,236.770004
5/19/2017,218.710007,238.309998
5/22/2017,219.929993,239.520004
5/23/2017,220.360001,240.050003
5/24/2017,220.889999,240.610001
5/25/2017,221.919998,241.759995
5/26/2017,221.929993,241.710007
5/30/2017,221.720001,241.5
5/31/2017,221.669998,241.440002
6/1/2017,223.399994,243.360001
6/2/2017,224.100006,244.169998
6/5/2017,223.949997,243.990005
6/6/2017,223.309998,243.210007
6/7/2017,223.679993,243.660004
6/8/2017,223.759995,243.779999
6/9/2017,223.5,243.410004
6/12/2017,223.410004,243.360001
6/13/2017,224.5,244.550003
6/14/2017,224.259995,244.240005
6/15/2017,223.809998,243.770004
6/16/2017,223.869995,242.639999
6/19/2017,225.699997,244.660004
6/20/2017,224.220001,243.009995
6/21/2017,224.130005,242.949997
6/22/2017,224,242.839996
6/23/2017,223.369995,243.130005
6/26/2017,223.440002,243.289993
6/27/2017,221.660004,241.330002
6/28/2017,223.619995,243.490005
6/29/2017,221.690002,241.350006
6/30/2017,222.059998,241.800003
7/3/2017,222.550003,242.210007
7/5/2017,222.940002,242.770004
7/6/2017,220.940002,240.550003
7/7/2017,222.339996,242.110001
7/10/2017,222.570007,242.369995
7/11/2017,222.399994,242.190002
7/12/2017,224.070007,244.009995
7/13/2017,224.449997,244.419998
7/14/2017,225.470001,245.559998
7/17/2017,225.5,245.529999
7/18/2017,225.669998,245.660004
7/19/2017,226.860001,246.990005
7/20/2017,226.929993,247.100006
7/21/2017,226.770004,246.880005
7/24/2017,226.690002,246.820007
7/25/2017,227.229996,247.419998
7/26/2017,227.300003,247.429993
7/27/2017,227.029999,247.199997
7/28/2017,226.770004,246.910004
7/31/2017,226.639999,246.770004
8/1/2017,227.149994,247.320007
8/2/2017,227.279999,247.440002
8/3/2017,226.880005,246.960007
8/4/2017,227.259995,247.410004
8/7/2017,227.630005,247.869995
8/8/2017,227.179993,247.259995
8/9/2017,227.050003,247.25
8/10/2017,223.929993,243.759995
8/11/2017,224.229996,244.119995
8/14/2017,226.429993,246.539993
8/15/2017,226.449997,246.509995
8/16/2017,226.809998,246.940002
8/17/2017,223.279999,243.089996
8/18/2017,222.869995,242.710007
8/21/2017,223.139999,242.899994
8/22/2017,225.399994,245.440002
8/23/2017,224.630005,244.559998
8/24/2017,224.110001,243.990005
8/25/2017,224.600006,244.559998
8/28/2017,224.679993,244.570007
8/29/2017,224.850006,244.850006
8/30/2017,225.970001,246.009995
8/31/2017,227.300003,247.490005
9/1/2017,227.690002,247.839996
9/5/2017,226.009995,246.059998
9/6/2017,226.800003,246.899994
9/7/2017,226.75,246.869995
